text_id,entity_text,entity_label,start_char,end_char,pipeline
11,Goddard Institute for Space Studies,ORG,22,57,ruler_after
11,2023,DATE,73,77,ruler_after
11,the warmest year,DATE,82,98,ruler_after
11,1.48 degrees Celsius,QUANTITY,143,163,ruler_after
11,1850-1900,DATE,174,183,ruler_after
11,El Nino,GPE,198,205,ruler_after
11,mid-2023,DATE,232,240,ruler_after
11,Southern Europe,LOC,311,326,ruler_after
11,North Africa,GPE,328,340,ruler_after
11,the Middle East,LOC,346,361,ruler_after
11,July 2023,DATE,363,372,ruler_after
11,the hottest month,DATE,377,394,ruler_after
12,Science,GPE,21,28,ruler_after
12,January 2024,DATE,32,44,ruler_after
12,the Greenland Ice Sheet,ORG,56,79,ruler_after
12,approximately 270 billion tonnes,QUANTITY,85,117,ruler_after
12,between 2006 and 2022,DATE,134,155,ruler_after
12,GRACE,ORG,213,218,ruler_after
12,GRACE-FO,ORG,223,231,ruler_after
12,approximately 0.7 millimeters,QUANTITY,286,315,ruler_after
12,2010,DATE,390,394,ruler_after
13,Arctic,LOC,4,10,ruler_after
13,sixth,ORDINAL,38,43,ruler_after
13,September 2023,DATE,70,84,ruler_after
13,the National Snow and Ice Data Center,ORG,99,136,ruler_after
13,Boulder,GPE,140,147,ruler_after
13,Colorado,GPE,149,157,ruler_after
13,15,CARDINAL,184,186,ruler_after
13,Arctic sea,LOC,194,204,ruler_after
13,the last 15 years,DATE,238,255,ruler_after
14,the Great Barrier Reef Foundation,FAC,21,54,ruler_after
14,fourth,ORDINAL,70,76,ruler_after
14,seven years,DATE,107,118,ruler_after
14,March 2024,DATE,126,136,ruler_after
14,2 degrees,QUANTITY,166,175,ruler_after
14,14 consecutive days,DATE,215,234,ruler_after
14,75%,PERCENT,259,262,ruler_after
14,"over 1,500",CARDINAL,320,330,ruler_after
14,400,CARDINAL,348,351,ruler_after
15,the Max Planck Institute for Meteorology,ORG,12,52,ruler_after
15,Nature Geoscience,WORK_OF_ART,75,92,ruler_after
15,the Atlantic Meridional Overturning Circulation,ORG,106,153,ruler_after
15,approximately 15%,PERCENT,170,187,ruler_after
15,1950,DATE,194,198,ruler_after
15,AMOC,ORG,204,208,ruler_after
15,the North Atlantic,LOC,251,269,ruler_after
15,Northern Europe,LOC,326,341,ruler_after
15,US,GPE,412,414,ruler_after
15,East Coast,LOC,415,425,ruler_after
16,Atmospheric CO2,PERSON,0,15,ruler_after
16,the Mauna Loa Observatory,FAC,34,59,ruler_after
16,Hawaii,GPE,63,69,ruler_after
16,424.0,CARDINAL,78,83,ruler_after
16,May 2024,DATE,105,113,ruler_after
16,NOAA,ORG,128,132,ruler_after
16,2.8,CARDINAL,152,155,ruler_after
16,the previous year,DATE,174,191,ruler_after
16,1958,DATE,260,264,ruler_after
16,approximately 50%,PERCENT,295,312,ruler_after
16,280,CARDINAL,353,356,ruler_after
17,the University of Leeds,ORG,17,40,ruler_after
17,227 billion tonnes,QUANTITY,99,117,ruler_after
17,2000-2009,DATE,134,143,ruler_after
17,298 billion tonnes,QUANTITY,154,172,ruler_after
17,2010-2019,DATE,185,194,ruler_after
17,Geophysical Research Letters,ORG,220,248,ruler_after
17,"217,175",CARDINAL,259,266,ruler_after
17,Himalayan,NORP,301,310,ruler_after
17,the early 2000s,DATE,366,381,ruler_after
17,1.9 billion,CARDINAL,414,425,ruler_after
18,The World Meteorological Organization,ORG,0,37,ruler_after
18,4.5 millimeters,QUANTITY,82,97,ruler_after
18,2023,DATE,101,105,ruler_after
18,annual,DATE,119,125,ruler_after
18,1993,DATE,168,172,ruler_after
18,approximately 40%,PERCENT,221,238,ruler_after
18,WMO,ORG,317,320,ruler_after
18,Celeste Saulo,PERSON,339,352,ruler_after
18,decades,DATE,417,424,ruler_after
19,the National Academy of Sciences,ORG,30,62,ruler_after
19,Siberia,LOC,93,100,ruler_after
19,Alaska,GPE,105,111,ruler_after
19,approximately 600 million tonnes,QUANTITY,121,153,ruler_after
19,CO2,PRODUCT,157,160,ruler_after
19,2022,DATE,175,179,ruler_after
19,80,CARDINAL,252,254,ruler_after
19,20-year,DATE,300,307,ruler_after
19,"roughly 1,500 billion tonnes",QUANTITY,374,402,ruler_after
20,the Potsdam Institute for Climate Impact Research,ORG,14,63,ruler_after
20,1.5 degree,QUANTITY,127,137,ruler_after
20,five,CARDINAL,175,179,ruler_after
20,the Greenland Ice Sheet,ORG,213,236,ruler_after
20,the West Antarctic Ice Sheet,LOC,238,266,ruler_after
20,the Atlantic Meridional Overturning Circulation,ORG,317,364,ruler_after
20,Science,GPE,393,400,ruler_after
20,September 2023,DATE,404,418,ruler_after
21,The European Space Agency's,ORG,0,27,ruler_after
21,Copernicus Climate Change Service,ORG,28,61,ruler_after
21,September 2023,DATE,76,90,ruler_after
21,1.75 degrees,QUANTITY,95,107,ruler_after
21,0.5 degrees,QUANTITY,190,201,ruler_after
21,El Nino,GPE,246,253,ruler_after
21,Saharan,GPE,263,270,ruler_after
21,Antarctic sea,LOC,301,314,ruler_after
21,Copernicus,ORG,327,337,ruler_after
21,Carlo Buontempo,PERSON,347,362,ruler_after
22,30%,PERCENT,37,40,ruler_after
22,1800,DATE,47,51,ruler_after
22,CO2,PRODUCT,85,88,ruler_after
22,Annual Review of Marine Science,ORG,125,156,ruler_after
22,8.1,CARDINAL,182,185,ruler_after
22,8.2,CARDINAL,250,253,ruler_after
22,the Southern Ocean,LOC,302,320,ruler_after
22,Arctic,LOC,325,331,ruler_after
23,The Dead Sea,LOC,0,12,ruler_after
23,approximately one-third,CARDINAL,22,45,ruler_after
23,1960,DATE,72,76,ruler_after
23,more than 1 meter,QUANTITY,108,125,ruler_after
23,the Jordan River,LOC,172,188,ruler_after
23,"7,000",CARDINAL,287,292,ruler_after
23,Jordan,GPE,390,396,ruler_after
23,the West Bank,GPE,401,414,ruler_after
24,Mediterranean,LOC,0,13,ruler_after
24,the summer of 2023,DATE,27,45,ruler_after
24,"400,000",CARDINAL,58,65,ruler_after
24,Greece,GPE,82,88,ruler_after
24,Turkey,GPE,90,96,ruler_after
24,Algeria,GPE,98,105,ruler_after
24,Tunisia,GPE,111,118,ruler_after
24,48 degrees,QUANTITY,143,153,ruler_after
24,Sicily,GPE,165,171,ruler_after
24,European,NORP,182,190,ruler_after
24,"20,000",CARDINAL,224,230,ruler_after
24,an estimated $3.5 billion,MONEY,249,274,ruler_after
24,Mediterranean,LOC,336,349,ruler_after
24,40 days,DATE,368,375,ruler_after
24,the 1980s,DATE,382,391,ruler_after
25,Pacific Island,LOC,0,14,ruler_after
25,Tuvalu,GPE,33,39,ruler_after
25,Kiribati,GPE,41,49,ruler_after
25,up to 50%,PERCENT,140,149,ruler_after
25,the Marshall Islands',GPE,153,174,ruler_after
25,2100,CARDINAL,207,211,ruler_after
25,just 2 meters,QUANTITY,243,256,ruler_after
25,2023,DATE,277,281,ruler_after
25,Tuvalu,ORG,283,289,ruler_after
25,Australia,GPE,315,324,ruler_after
25,up to 280,CARDINAL,356,365,ruler_after
26,Flash,PERSON,0,5,ruler_after
26,Derna,GPE,16,21,ruler_after
26,Libya,GPE,23,28,ruler_after
26,September 2023,DATE,32,46,ruler_after
26,"over 11,000",CARDINAL,54,65,ruler_after
26,"40,000",CARDINAL,87,93,ruler_after
26,Storm Daniel,ORG,99,111,ruler_after
26,two,CARDINAL,119,122,ruler_after
26,414 millimeters,QUANTITY,171,186,ruler_after
26,24 hours,TIME,190,198,ruler_after
26,annual,DATE,218,224,ruler_after
26,270,CARDINAL,236,239,ruler_after
26,50,CARDINAL,306,308,ruler_after
26,50%,PERCENT,331,334,ruler_after
27,Jordan,GPE,0,6,ruler_after
27,approximately 80 cubic meters,QUANTITY,115,144,ruler_after
27,500 cubic meters,QUANTITY,201,217,ruler_after
27,the Jordan Valley,LOC,359,376,ruler_after
28,25%,PERCENT,51,54,ruler_after
28,2000,DATE,61,65,ruler_after
28,the African Union's Climate Research Centre,ORG,91,134,ruler_after
28,Mediterranean,LOC,188,201,ruler_after
28,Southern Europe,LOC,207,222,ruler_after
28,up to 30%,PERCENT,297,306,ruler_after
28,March 2024,DATE,311,321,ruler_after
28,Scandinavia,LOC,377,388,ruler_after
29,Amman,GPE,0,5,ruler_after
29,2023,DATE,50,54,ruler_after
29,40 degrees,QUANTITY,84,94,ruler_after
29,18 separate days,DATE,106,122,ruler_after
29,August,DATE,140,146,ruler_after
29,The Jordanian Department of Meteorology,ORG,148,187,ruler_after
29,summer,DATE,210,216,ruler_after
29,2.1 degrees,QUANTITY,248,259,ruler_after
29,1970,DATE,274,278,ruler_after
29,35%,PERCENT,336,339,ruler_after
29,2018-2022,DATE,356,365,ruler_after
30,The IPCC Working Group II,ORG,0,25,ruler_after
30,21%,PERCENT,126,129,ruler_after
30,1961,DATE,136,140,ruler_after
30,South Asia,LOC,158,168,ruler_after
30,Sub-Saharan Africa,ORG,189,207,ruler_after
30,10-25%,PERCENT,236,242,ruler_after
30,2 degrees,QUANTITY,249,258,ruler_after
30,3.3 to 3.6 billion,QUANTITY,297,315,ruler_after
31,Hurricane Otis,EVENT,0,14,ruler_after
31,Acapulco,GPE,34,42,ruler_after
31,Mexico,GPE,44,50,ruler_after
31,"October 25, 2023",DATE,54,70,ruler_after
31,270 kilometers per hour,QUANTITY,117,140,ruler_after
31,Category 5,LAW,189,199,ruler_after
31,just 12 hours,TIME,203,216,ruler_after
31,the Eastern Pacific,LOC,267,286,ruler_after
31,over $16 billion,MONEY,308,324,ruler_after
31,at least 52,CARDINAL,347,358,ruler_after
32,Sahel,PERSON,4,9,ruler_after
32,Africa,LOC,20,26,ruler_after
32,a decade,DATE,64,72,ruler_after
32,2023,DATE,80,84,ruler_after
32,45 million,CARDINAL,91,101,ruler_after
32,Burkina Faso,GPE,233,245,ruler_after
32,Mali,PERSON,247,251,ruler_after
32,Niger,PERSON,253,258,ruler_after
32,Chad,GPE,264,268,ruler_after
32,The World Food Programme,ORG,270,294,ruler_after
32,12 million,CARDINAL,324,334,ruler_after
32,millions,CARDINAL,383,391,ruler_after
33,Himalayas,FAC,36,45,ruler_after
33,10,CARDINAL,64,66,ruler_after
33,1990,DATE,79,83,ruler_after
33,October 2023,DATE,88,100,ruler_after
33,GLOF,ORG,104,108,ruler_after
33,Sikkim,GPE,112,118,ruler_after
33,India,GPE,120,125,ruler_after
33,Teesta III,PERSON,140,150,ruler_after
33,over 40,CARDINAL,174,181,ruler_after
33,23 billion dollar,MONEY,229,246,ruler_after
33,less than a year,DATE,276,292,ruler_after
33,"over 5,000",CARDINAL,319,329,ruler_after
33,Hindu,NORP,351,356,ruler_after
33,Kush Himalaya,PERSON,357,370,ruler_after
34,approximately 500 million,CARDINAL,54,79,ruler_after
34,70-90%,PERCENT,125,131,ruler_after
34,1.5 degrees,QUANTITY,138,149,ruler_after
34,2 degrees,QUANTITY,188,197,ruler_after
34,$375 billion,MONEY,312,324,ruler_after
34,Caribbean,LOC,348,357,ruler_after
34,50%,PERCENT,375,378,ruler_after
34,1970,DATE,404,408,ruler_after
35,Jordan,GPE,0,6,ruler_after
35,Disi Water Conveyance Project,ORG,9,38,ruler_after
35,2013,DATE,53,57,ruler_after
35,$990 million,MONEY,71,83,ruler_after
35,100 million cubic meters,QUANTITY,96,120,ruler_after
35,annually,DATE,130,138,ruler_after
35,Disi,NORP,148,152,ruler_after
35,Amman,GPE,164,169,ruler_after
35,Aqaba,GPE,174,179,ruler_after
35,50 years,DATE,296,304,ruler_after
36,The Kingdom of Jordan,GPE,0,21,ruler_after
36,200-megawatt,QUANTITY,36,48,ruler_after
36,Mafraq,GPE,70,76,ruler_after
36,January 2024,DATE,80,92,ruler_after
36,"2,400 megawatts",QUANTITY,152,167,ruler_after
36,Jordan,PERSON,169,175,ruler_after
36,50%,PERCENT,193,196,ruler_after
36,2030,DATE,242,246,ruler_after
36,29%,PERCENT,256,259,ruler_after
36,2023,DATE,263,267,ruler_after
36,Mafraq,GPE,273,279,ruler_after
36,the European Bank for Reconstruction and Development,ORG,299,351,ruler_after
36,"approximately 110,000",CARDINAL,364,385,ruler_after
37,Singapore,GPE,0,9,ruler_after
37,$72 billion,MONEY,52,63,ruler_after
37,100 years,DATE,80,89,ruler_after
37,up to 4 meters,QUANTITY,173,187,ruler_after
37,The Tuas Nexus,ORG,261,275,ruler_after
37,2025,DATE,334,338,ruler_after
38,UNEP,ORG,0,4,ruler_after
38,Adaptation Gap Report,ORG,7,28,ruler_after
38,2023,DATE,29,33,ruler_after
38,10 to 18,CARDINAL,98,106,ruler_after
38,annual,DATE,177,183,ruler_after
38,215,MONEY,205,208,ruler_after
38,$387 billion,MONEY,212,224,ruler_after
38,Only $21 billion,MONEY,248,264,ruler_after
38,2021,DATE,321,325,ruler_after
39,Netherlands,GPE,4,15,ruler_after
39,River,LOC,30,35,ruler_after
39,2019,DATE,58,62,ruler_after
39,2.3 billion,CARDINAL,76,87,ruler_after
39,34,CARDINAL,106,108,ruler_after
39,"the Rhine, Meuse",ORG,125,141,ruler_after
39,Europe,LOC,388,394,ruler_after
40,Kenya,GPE,0,5,ruler_after
40,Great Green Wall,FAC,8,24,ruler_after
40,over 15 million,CARDINAL,48,63,ruler_after
40,400-kilometer,QUANTITY,78,91,ruler_after
40,2020,DATE,135,139,ruler_after
40,"12,000",CARDINAL,161,167,ruler_after
40,"5,000",CARDINAL,203,208,ruler_after
40,FAO,ORG,236,239,ruler_after
40,the World Bank,ORG,294,308,ruler_after
41,Bangladesh,GPE,0,10,ruler_after
41,1972,DATE,60,64,ruler_after
41,Red Cross,ORG,83,92,ruler_after
41,over 99%,PERCENT,135,143,ruler_after
41,"76,000",CARDINAL,202,208,ruler_after
41,"4,000",CARDINAL,229,234,ruler_after
41,35 million,CARDINAL,295,305,ruler_after
41,12,MONEY,330,332,ruler_after
41,annual,DATE,344,350,ruler_after
41,one,CARDINAL,370,373,ruler_after
42,Abu Dhabi's,ORG,0,11,ruler_after
42,Masdar City,GPE,12,23,ruler_after
42,15 to,CARDINAL,142,147,ruler_after
42,20 degrees,QUANTITY,148,158,ruler_after
42,10-megawatt,QUANTITY,220,231,ruler_after
42,2024,DATE,312,316,ruler_after
42,Masdar City,GPE,318,329,ruler_after
42,"6,000",CARDINAL,337,342,ruler_after
42,600,CARDINAL,357,360,ruler_after
42,the International Renewable Energy Agency,ORG,403,444,ruler_after
43,Amman,GPE,12,17,ruler_after
43,Climate Action Plan,LAW,31,50,ruler_after
43,2021,DATE,54,58,ruler_after
43,40%,PERCENT,72,75,ruler_after
43,2030,DATE,127,131,ruler_after
43,"300,000",CARDINAL,192,199,ruler_after
43,daily,DATE,200,205,ruler_after
43,"25,000",CARDINAL,218,224,ruler_after
44,Israel,GPE,0,6,ruler_after
44,2025,DATE,65,69,ruler_after
44,200 million cubic meters,QUANTITY,84,108,ruler_after
44,annually,DATE,127,135,ruler_after
44,0.40,MONEY,150,154,ruler_after
44,Israel,GPE,254,260,ruler_after
44,80%,PERCENT,281,284,ruler_after
45,Costa Rica,GPE,0,10,ruler_after
45,99.5%,PERCENT,20,25,ruler_after
45,2023,DATE,62,66,ruler_after
45,98%,PERCENT,160,163,ruler_after
45,nine consecutive years,DATE,189,211,ruler_after
45,Costa Rica's,GPE,213,225,ruler_after
45,National Decarbonization Plan,ORG,226,255,ruler_after
45,net-zero,THRESHOLD,264,272,ruler_after
45,2050,DATE,286,290,ruler_after
45,"60,000",CARDINAL,358,364,ruler_after
45,2025,DATE,417,421,ruler_after
46,The African Development Bank's,ORG,0,30,ruler_after
46,10,CARDINAL,74,76,ruler_after
46,11,CARDINAL,112,114,ruler_after
46,Sahel,PRODUCT,115,120,ruler_after
46,2030,DATE,134,138,ruler_after
46,250 million,CARDINAL,165,176,ruler_after
46,2024,DATE,191,195,ruler_after
46,3.2,CARDINAL,197,200,ruler_after
46,rural health clinics,ORG,283,303,ruler_after
46,"15,000",CARDINAL,383,389,ruler_after
47,India,GPE,0,5,ruler_after
47,Nationally Determined Contribution,ORG,16,50,ruler_after
47,50%,PERCENT,70,73,ruler_after
47,2030,DATE,151,155,ruler_after
47,45%,PERCENT,198,201,ruler_after
47,2005,DATE,207,211,ruler_after
47,Narendra Modi,PERSON,235,248,ruler_after
47,Glasgow,GPE,283,290,ruler_after
47,November 2021,DATE,294,307,ruler_after
47,net-zero,THRESHOLD,321,329,ruler_after
47,2070,DATE,340,344,ruler_after
48,Loss and Damage,AGREEMENT,4,19,ruler_after
48,COP27,GPE,41,46,ruler_after
48,Sharm el-Sheikh,GPE,50,65,ruler_after
48,COP28,CLIMATE_EVENT,89,94,ruler_after
48,$792 million,MONEY,130,142,ruler_after
48,Germany,GPE,144,151,ruler_after
48,UAE,ORG,160,163,ruler_after
48,$100 million,MONEY,177,189,ruler_after
48,United Kingdom,GPE,201,215,ruler_after
48,$75 million,MONEY,226,237,ruler_after
48,the estimated $400 billion,MONEY,299,325,ruler_after
48,annual,DATE,329,335,ruler_after
48,loss and damage,AGREEMENT,336,351,ruler_after
49,Brazil,GPE,0,6,ruler_after
49,Ministry of Environment and Climate Change,ORG,9,51,ruler_after
49,August 2023,DATE,65,76,ruler_after
49,Amazon,ORG,82,88,ruler_after
49,48%,PERCENT,119,122,ruler_after
49,the first seven months,DATE,126,148,ruler_after
49,Lula da Silva,PERSON,162,175,ruler_after
49,2022,DATE,224,228,ruler_after
49,IBAMA,ORG,280,285,ruler_after
49,the Amazon Fund,ORG,310,325,ruler_after
49,$500 million,MONEY,342,354,ruler_after
49,Norway,GPE,360,366,ruler_after
49,Germany,GPE,371,378,ruler_after
50,The International Energy Agency's,ORG,0,33,ruler_after
50,Net Zero,ORG,34,42,ruler_after
50,2050,DATE,46,50,ruler_after
50,2021,DATE,169,173,ruler_after
50,annual,DATE,197,203,ruler_after
50,$4 trillion,MONEY,237,248,ruler_after
50,2030,DATE,252,256,ruler_after
50,$1.3 trillion,MONEY,266,279,ruler_after
50,2022,DATE,283,287,ruler_after
50,IEA,ORG,289,292,ruler_after
50,Fatih Birol,PERSON,312,323,ruler_after
51,Saudi Arabia's,GPE,0,14,ruler_after
51,Vision 2030,ORG,15,26,ruler_after
51,50%,PERCENT,59,62,ruler_after
51,$500 billion,MONEY,118,130,ruler_after
51,"2,600-megawatt",QUANTITY,161,175,ruler_after
51,Sudair,ORG,176,182,ruler_after
51,278 million tonnes,QUANTITY,248,266,ruler_after
51,annually,DATE,267,275,ruler_after
51,2030,DATE,279,283,ruler_after
51,Saudi,NORP,296,301,ruler_after
51,Green Initiative,GPE,302,318,ruler_after
51,Middle East Green Initiative,LOC,335,363,ruler_after
51,50 billion,CARDINAL,385,395,ruler_after
52,The Kigali Amendment,LAW,0,20,ruler_after
52,the Montreal Protocol,LAW,24,45,ruler_after
52,January 2019,DATE,75,87,ruler_after
52,80%,PERCENT,101,104,ruler_after
52,2047,DATE,166,170,ruler_after
52,thousands,CARDINAL,229,238,ruler_after
52,UNEP,ORG,266,270,ruler_after
52,the Kigali Amendment,LAW,309,329,ruler_after
52,0.5 degrees,QUANTITY,347,358,ruler_after
52,2100,DATE,381,385,ruler_after
53,Jordanian,NORP,4,13,ruler_after
53,the Renewable Energy and Energy Efficiency Law,ORG,32,78,ruler_after
53,December 2023,DATE,82,95,ruler_after
53,$50 million,MONEY,278,289,ruler_after
53,the Central Bank of Jordan,ORG,336,362,ruler_after
54,Nature Communications,ORG,21,42,ruler_after
54,February 2024,DATE,46,59,ruler_after
54,Arctic,LOC,109,115,ruler_after
54,first,ORDINAL,137,142,ruler_after
54,September,DATE,152,161,ruler_after
54,a decade earlier,DATE,185,201,ruler_after
54,40 years,DATE,273,281,ruler_after
54,2050,DATE,413,417,ruler_after
55,CO2,PRODUCT,47,50,ruler_after
55,36.8 billion tonnes,QUANTITY,100,119,ruler_after
55,2023,DATE,123,127,ruler_after
55,1.1%,PERCENT,131,135,ruler_after
55,2022,DATE,150,154,ruler_after
55,1.0%,PERCENT,179,183,ruler_after
55,15.5 billion tonnes,QUANTITY,187,206,ruler_after
55,1.5%,PERCENT,235,239,ruler_after
55,0.5%,PERCENT,275,279,ruler_after
55,India,GPE,281,286,ruler_after
55,China,GPE,291,296,ruler_after
55,the European Union,ORG,371,389,ruler_after
55,7.4%,PERCENT,402,406,ruler_after
56,"1,923",CARDINAL,49,54,ruler_after
56,2023,DATE,76,80,ruler_after
56,more than 2.5,CARDINAL,82,95,ruler_after
56,722,CARDINAL,130,133,ruler_after
56,March 2024,DATE,194,204,ruler_after
56,80,CARDINAL,349,351,ruler_after
56,CO2,PRODUCT,366,369,ruler_after
56,20-year,DATE,377,384,ruler_after
57,The British Antarctic Survey,ORG,0,28,ruler_after
57,February 2024,DATE,41,54,ruler_after
57,Antarctic sea,LOC,60,73,ruler_after
57,9,CARDINAL,128,129,ruler_after
57,the preceding 12 months,DATE,133,156,ruler_after
57,2.6 million square kilometers,QUANTITY,177,206,ruler_after
57,1981-2010,DATE,224,233,ruler_after
57,Antarctic ice,LOC,314,327,ruler_after
58,ETH Zurich,ORG,10,20,ruler_after
58,Nature,WORK_OF_ART,42,48,ruler_after
58,2023 summer,DATE,62,73,ruler_after
58,the Northern Hemisphere,LOC,87,110,ruler_after
58,The World Weather Attribution,ORG,185,214,ruler_after
58,July 2023,DATE,241,250,ruler_after
58,Southern Europe,LOC,263,278,ruler_after
58,North Africa,GPE,280,292,ruler_after
58,the Middle East,LOC,298,313,ruler_after
58,approximately 2.5 degrees,QUANTITY,323,348,ruler_after
58,Phoenix,GPE,383,390,ruler_after
58,Arizona,GPE,392,399,ruler_after
58,31 consecutive days,DATE,412,431,ruler_after
58,43 degrees,QUANTITY,438,448,ruler_after
59,Pakistan,GPE,26,34,ruler_after
59,August,DATE,42,48,ruler_after
59,September 2022,DATE,53,67,ruler_after
59,one-third,CARDINAL,78,87,ruler_after
59,33 million,CARDINAL,113,123,ruler_after
59,over $30 billion,MONEY,143,159,ruler_after
59,190%,PERCENT,215,219,ruler_after
59,Karakoram,LOC,276,285,ruler_after
59,Hindu Kush,PERSON,290,300,ruler_after
59,The World Health Organization,ORG,309,338,ruler_after
59,"1,739",CARDINAL,348,353,ruler_after
59,8 million,CARDINAL,414,423,ruler_after
60,the United States,GPE,54,71,ruler_after
60,$92.9 billion,MONEY,80,93,ruler_after
60,2023,DATE,97,101,ruler_after
60,NOAA,ORG,116,120,ruler_after
60,28,CARDINAL,133,135,ruler_after
60,billion-dollar,MONEY,145,159,ruler_after
60,Hawaii,GPE,200,206,ruler_after
60,Lahaina,GPE,243,250,ruler_after
60,100,CARDINAL,262,265,ruler_after
61,The World Health Organization,ORG,0,29,ruler_after
61,"approximately 250,000",CARDINAL,71,92,ruler_after
61,between 2030,DATE,120,132,ruler_after
61,2050,DATE,137,141,ruler_after
61,The Lancet Countdown on Health and Climate Change,ORG,203,252,ruler_after
61,68%,PERCENT,324,327,ruler_after
61,between 2000 and 2022,DATE,328,349,ruler_after
61,the Middle East,LOC,356,371,ruler_after
61,South Asia,LOC,376,386,ruler_after
62,East Africa,GPE,3,14,ruler_after
62,2020-2023,DATE,20,29,ruler_after
62,40 years,DATE,55,63,ruler_after
62,36 million,CARDINAL,75,85,ruler_after
62,Kenya,GPE,100,105,ruler_after
62,Somalia,GPE,107,114,ruler_after
62,Ethiopia,GPE,120,128,ruler_after
62,Five,CARDINAL,130,134,ruler_after
62,over 13 million,CARDINAL,188,203,ruler_after
62,late 2023,DATE,302,311,ruler_after
62,2.4 million,CARDINAL,384,395,ruler_after
62,Somalia,GPE,406,413,ruler_after
63,Amman,GPE,15,20,ruler_after
63,the 2023 summer,DATE,55,70,ruler_after
63,75 micrograms per cubic meter,QUANTITY,117,146,ruler_after
63,12 days,DATE,150,157,ruler_after
63,three,CARDINAL,159,164,ruler_after
63,WHO,ORG,175,178,ruler_after
63,25,CARDINAL,192,194,ruler_after
63,4.2 million,CARDINAL,344,355,ruler_after
63,The Ministry of Health,ORG,367,389,ruler_after
64,2023,DATE,50,54,ruler_after
64,the Internal Displacement Monitoring Centre,ORG,61,104,ruler_after
64,26.4 million,CARDINAL,115,127,ruler_after
64,The Middle East,LOC,186,201,ruler_after
64,North Africa,GPE,206,218,ruler_after
